run,config,refit_idx,step_idx,loss,grad_norm,learning_rate,epoch
v2,G1_C2.2,5,15,0.247,3.2225229740142822,3.333333333333334e-08,1.0
v2,G1_C2.2,6,16,0.2572,3.049684524536133,6.700000000000001e-06,0.33
v2,G1_C2.2,6,17,0.2477,0.4633525013923645,3.366666666666667e-06,0.67
v2,G1_C2.2,6,18,0.271,3.0534045696258545,3.333333333333334e-08,1.0
v2,G1_C2.2,7,19,0.2687,1.2145135402679443,6.700000000000001e-06,0.33
v2,G1_C2.2,7,20,0.2787,5.306399822235107,3.366666666666667e-06,0.67
v2,G1_C2.2,7,21,0.2998,0.6965433359146118,3.333333333333334e-08,1.0
v2,G1_C2.2,8,22,0.3157,0.7503122687339783,6.700000000000001e-06,0.33
v2,G1_C2.2,8,23,0.2562,0.826629102230072,3.366666666666667e-06,0.67
v2,G1_C2.2,8,24,0.2468,0.6349189877510071,3.333333333333334e-08,1.0
v2,G1_C2.2,9,25,0.2933,0.9690905213356018,6.700000000000001e-06,0.33
v2,G1_C2.2,9,26,0.2236,0.6021272540092468,3.366666666666667e-06,0.67
v2,G1_C2.2,9,27,0.2455,0.46007609367370605,3.333333333333334e-08,1.0
v2,G1_C2.2,10,28,0.3512,3.4065730571746826,6.700000000000001e-06,0.33
v2,G1_C2.2,10,29,0.3498,0.7138254642486572,3.366666666666667e-06,0.67
v2,G1_C2.2,10,30,0.2361,0.5366161465644836,3.333333333333334e-08,1.0
v2,G1_C2.3,1,1,0.0655,0.19549812376499176,6.700000000000001e-06,0.33
v2,G1_C2.3,1,2,0.0553,0.32738953828811646,3.366666666666667e-06,0.67
v2,G1_C2.3,1,3,0.0593,0.23638291656970978,3.333333333333334e-08,1.0
v2,G1_C2.3,2,4,0.0711,0.4077078402042389,6.700000000000001e-06,0.33
v2,G1_C2.3,2,5,0.075,0.3362162411212921,3.366666666666667e-06,0.67
v2,G1_C2.3,2,6,0.0735,0.1300547569990158,3.333333333333334e-08,1.0
v2,G1_C2.3,3,7,0.0704,0.1357164978981018,6.700000000000001e-06,0.33
v2,G1_C2.3,3,8,0.0642,0.2547045648097992,3.366666666666667e-06,0.67
v2,G1_C2.3,3,9,0.0726,0.24209047853946686,3.333333333333334e-08,1.0
v2,G1_C2.3,4,10,0.0738,0.1328233927488327,6.700000000000001e-06,0.33
v2,G1_C2.3,4,11,0.0757,0.12140797823667526,3.366666666666667e-06,0.67
v2,G1_C2.3,4,12,0.0707,0.49751177430152893,3.333333333333334e-08,1.0
v2,G1_C2.3,5,13,0.0769,0.18215090036392212,6.700000000000001e-06,0.33
v2,G1_C2.3,5,14,0.0709,0.2150326669216156,3.366666666666667e-06,0.67
v2,G1_C2.3,5,15,0.0705,0.604498028755188,3.333333333333334e-08,1.0
v2,G1_C2.3,6,16,0.0774,0.7756223678588867,6.700000000000001e-06,0.33
v2,G1_C2.3,6,17,0.073,0.3242737054824829,3.366666666666667e-06,0.67
v2,G1_C2.3,6,18,0.073,0.2263844907283783,3.333333333333334e-08,1.0
v2,G1_C2.3,7,19,0.0764,0.3209283649921417,6.700000000000001e-06,0.33
v2,G1_C2.3,7,20,0.0815,0.8859630823135376,3.366666666666667e-06,0.67
v2,G1_C2.3,7,21,0.0826,0.16053205728530884,3.333333333333334e-08,1.0
v2,G1_C2.3,8,22,0.0895,0.16219335794448853,6.700000000000001e-06,0.33
v2,G1_C2.3,8,23,0.0786,0.2072165459394455,3.366666666666667e-06,0.67
v2,G1_C2.3,8,24,0.0704,0.24607865512371063,3.333333333333334e-08,1.0
v2,G1_C2.3,9,25,0.0823,0.18323513865470886,6.700000000000001e-06,0.33
v2,G1_C2.3,9,26,0.0648,0.25675395131111145,3.366666666666667e-06,0.67
v2,G1_C2.3,9,27,0.0709,0.3448493182659149,3.333333333333334e-08,1.0
v2,G1_C2.3,10,28,0.0981,0.9363917708396912,6.700000000000001e-06,0.33
v2,G1_C2.3,10,29,0.0972,0.17934834957122803,3.366666666666667e-06,0.67
v2,G1_C2.3,10,30,0.0724,0.1638125777244568,3.333333333333334e-08,1.0
v2,G1_C3.1,1,1,3.4675,4.640300750732422,6.700000000000001e-06,0.33
v2,G1_C3.1,1,2,3.4524,9.143476486206055,3.366666666666667e-06,0.67
v2,G1_C3.1,1,3,3.3388,6.016781330108643,3.333333333333334e-08,1.0
v2,G1_C3.1,2,4,3.4854,7.4682536125183105,6.700000000000001e-06,0.33
v2,G1_C3.1,2,5,3.4136,6.1455078125,3.366666666666667e-06,0.67
v2,G1_C3.1,2,6,3.5187,4.9232916831970215,3.333333333333334e-08,1.0
v2,G1_C3.1,3,7,3.6843,18.40480613708496,6.700000000000001e-06,0.33
v2,G1_C3.1,3,8,3.3846,6.083626747131348,3.366666666666667e-06,0.67
v2,G1_C3.1,3,9,3.4643,3.0382556915283203,3.333333333333334e-08,1.0
v2,G1_C3.1,4,10,3.604,4.848381519317627,6.700000000000001e-06,0.33
v2,G1_C3.1,4,11,3.7614,5.9946722984313965,3.366666666666667e-06,0.67
v2,G1_C3.1,4,12,3.4264,10.038399696350098,3.333333333333334e-08,1.0
v2,G1_C3.1,5,13,3.6691,9.170056343078613,6.700000000000001e-06,0.33
v2,G1_C3.1,5,14,3.6136,4.528136253356934,3.366666666666667e-06,0.67
v2,G1_C3.1,5,15,3.6825,3.8286232948303223,3.333333333333334e-08,1.0
v2,G1_C3.1,6,16,3.5246,5.81295919418335,6.700000000000001e-06,0.33
v2,G1_C3.1,6,17,3.551,17.889474868774414,3.366666666666667e-06,0.67
v2,G1_C3.1,6,18,3.3909,9.980703353881836,3.333333333333334e-08,1.0
v2,G1_C3.1,7,19,3.3201,5.033809185028076,6.700000000000001e-06,0.33
v2,G1_C3.1,7,20,3.4653,13.251794815063477,3.366666666666667e-06,0.67
v2,G1_C3.1,7,21,3.3541,6.541306495666504,3.333333333333334e-08,1.0
v2,G1_C3.1,8,22,3.3741,4.287411212921143,6.700000000000001e-06,0.33
v2,G1_C3.1,8,23,3.4508,4.4282002449035645,3.366666666666667e-06,0.67
v2,G1_C3.1,8,24,3.2676,7.694240093231201,3.333333333333334e-08,1.0
v2,G1_C3.1,9,25,3.3535,4.644855976104736,6.700000000000001e-06,0.33
v2,G1_C3.1,9,26,3.4428,8.30334758758545,3.366666666666667e-06,0.67
v2,G1_C3.1,9,27,3.2362,5.267043113708496,3.333333333333334e-08,1.0
v2,G1_C3.1,10,28,3.5512,4.1836934089660645,6.700000000000001e-06,0.33
v2,G1_C3.1,10,29,3.2877,8.485345840454102,3.366666666666667e-06,0.67
v2,G1_C3.1,10,30,3.3967,5.780170440673828,3.333333333333334e-08,1.0
v2,G1_C3.2,1,1,1.7549,2.0196585655212402,6.700000000000001e-06,0.33
v2,G1_C3.2,1,2,1.7467,2.2057416439056396,3.366666666666667e-06,0.67
v2,G1_C3.2,1,3,1.7149,3.731759786605835,3.333333333333334e-08,1.0
v2,G1_C3.2,2,4,1.8526,7.078135967254639,6.700000000000001e-06,0.33
v2,G1_C3.2,2,5,1.8391,2.9200732707977295,3.366666666666667e-06,0.67
v2,G1_C3.2,2,6,1.814,2.422320604324341,3.333333333333334e-08,1.0
v2,G1_C3.2,3,7,1.8509,4.871325492858887,6.700000000000001e-06,0.33
v2,G1_C3.2,3,8,1.7567,2.2907965183258057,3.366666666666667e-06,0.67
v2,G1_C3.2,3,9,1.8463,3.8444387912750244,3.333333333333334e-08,1.0
v2,G1_C3.2,4,10,1.8512,5.3718767166137695,6.700000000000001e-06,0.33
v2,G1_C3.2,4,11,1.9719,4.363382339477539,3.366666666666667e-06,0.67
v2,G1_C3.2,4,12,1.8128,2.9613778591156006,3.333333333333334e-08,1.0
v2,G1_C3.2,5,13,1.9331,5.2367024421691895,6.700000000000001e-06,0.33
v2,G1_C3.2,5,14,1.8708,2.6559102535247803,3.366666666666667e-06,0.67
v2,G1_C3.2,5,15,1.8478,2.548921585083008,3.333333333333334e-08,1.0
v2,G1_C3.2,6,16,1.9039,3.60331654548645,6.700000000000001e-06,0.33
v2,G1_C3.2,6,17,1.8377,8.296258926391602,3.366666666666667e-06,0.67
v2,G1_C3.2,6,18,1.7648,3.8667924404144287,3.333333333333334e-08,1.0
v2,G1_C3.2,7,19,1.9479,3.942007064819336,6.700000000000001e-06,0.33
v2,G1_C3.2,7,20,1.8465,4.975164890289307,3.366666666666667e-06,0.67
v2,G1_C3.2,7,21,1.7846,5.557411193847656,3.333333333333334e-08,1.0
v2,G1_C3.2,8,22,1.8748,2.7657315731048584,6.700000000000001e-06,0.33
v2,G1_C3.2,8,23,1.9384,3.0547730922698975,3.366666666666667e-06,0.67
v2,G1_C3.2,8,24,1.8432,4.359678745269775,3.333333333333334e-08,1.0
v2,G1_C3.2,9,25,1.8822,2.987352132797241,6.700000000000001e-06,0.33
v2,G1_C3.2,9,26,1.9523,3.8707146644592285,3.366666666666667e-06,0.67
v2,G1_C3.2,9,27,1.8577,4.798055171966553,3.333333333333334e-08,1.0
v2,G1_C3.2,10,28,1.9301,2.2183332443237305,6.700000000000001e-06,0.33
v2,G1_C3.2,10,29,1.7865,5.355997562408447,3.366666666666667e-06,0.67
v2,G1_C3.2,10,30,1.8177,6.20490026473999,3.333333333333334e-08,1.0
v2,G1_C3.3,1,1,4.3688,8.597926139831543,6.700000000000001e-06,0.33
v2,G1_C3.3,1,2,4.4005,13.579307556152344,3.366666666666667e-06,0.67
v2,G1_C3.3,1,3,4.2747,7.05182409286499,3.333333333333334e-08,1.0
v2,G1_C3.3,2,4,4.505,9.982216835021973,6.700000000000001e-06,0.33
v2,G1_C3.3,2,5,4.5198,5.120616912841797,3.366666666666667e-06,0.67
v2,G1_C3.3,2,6,4.4248,10.04714298248291,3.333333333333334e-08,1.0
v2,G1_C3.3,3,7,4.5529,8.776288032531738,6.700000000000001e-06,0.33
v2,G1_C3.3,3,8,4.3208,8.5177001953125,3.366666666666667e-06,0.67
v2,G1_C3.3,3,9,4.2927,6.5682525634765625,3.333333333333334e-08,1.0
v2,G1_C3.3,4,10,4.5969,6.3410844802856445,6.700000000000001e-06,0.33
v2,G1_C3.3,4,11,4.9639,10.100083351135254,3.366666666666667e-06,0.67
v2,G1_C3.3,4,12,4.531,5.60182523727417,3.333333333333334e-08,1.0
v2,G1_C3.3,5,13,4.5744,10.512194633483887,6.700000000000001e-06,0.33
v2,G1_C3.3,5,14,4.7008,6.687859058380127,3.366666666666667e-06,0.67
v2,G1_C3.3,5,15,4.6881,4.7403669357299805,3.333333333333334e-08,1.0
v2,G1_C3.3,6,16,4.5835,7.04154634475708,6.700000000000001e-06,0.33
v2,G1_C3.3,6,17,4.5816,10.424734115600586,3.366666666666667e-06,0.67
v2,G1_C3.3,6,18,4.5475,10.521666526794434,3.333333333333334e-08,1.0
v2,G1_C3.3,7,19,4.5082,6.281968593597412,6.700000000000001e-06,0.33
v2,G1_C3.3,7,20,4.6885,9.089238166809082,3.366666666666667e-06,0.67
v2,G1_C3.3,7,21,4.3989,8.020508766174316,3.333333333333334e-08,1.0
v2,G1_C3.3,8,22,4.7499,5.690911769866943,6.700000000000001e-06,0.33
v2,G1_C3.3,8,23,4.8906,6.103988170623779,3.366666666666667e-06,0.67
v2,G1_C3.3,8,24,4.6088,9.648826599121094,3.333333333333334e-08,1.0
v2,G1_C3.3,9,25,4.5423,7.084752082824707,6.700000000000001e-06,0.33
v2,G1_C3.3,9,26,4.7604,10.835344314575195,3.366666666666667e-06,0.67
v2,G1_C3.3,9,27,4.6083,5.9042887687683105,3.333333333333334e-08,1.0
v2,G1_C3.3,10,28,4.7934,7.7342047691345215,6.700000000000001e-06,0.33
v2,G1_C3.3,10,29,4.8258,9.427608489990234,3.366666666666667e-06,0.67
v2,G1_C3.3,10,30,4.6859,11.31054973602295,3.333333333333334e-08,1.0
v2,G1_C3.4,1,1,3.7002,8.586348533630371,6.700000000000001e-06,0.33
v2,G1_C3.4,1,2,3.8471,10.359806060791016,3.366666666666667e-06,0.67
v2,G1_C3.4,1,3,3.7497,3.2705788612365723,3.333333333333334e-08,1.0
v2,G1_C3.4,2,4,4.0387,10.194327354431152,6.700000000000001e-06,0.33
v2,G1_C3.4,2,5,3.6621,7.230241298675537,3.366666666666667e-06,0.67
v2,G1_C3.4,2,6,3.8722,7.563677787780762,3.333333333333334e-08,1.0
v2,G1_C3.4,3,7,3.8888,10.999101638793945,6.700000000000001e-06,0.33
v2,G1_C3.4,3,8,4.0886,13.493438720703125,3.366666666666667e-06,0.67
v2,G1_C3.4,3,9,3.8437,4.8167009353637695,3.333333333333334e-08,1.0
v2,G1_C3.4,4,10,4.0518,5.7417168617248535,6.700000000000001e-06,0.33
v2,G1_C3.4,4,11,3.9465,8.222393989562988,3.366666666666667e-06,0.67
v2,G1_C3.4,4,12,4.1341,8.47314739227295,3.333333333333334e-08,1.0
v2,G1_C3.4,5,13,4.016,4.830995559692383,6.700000000000001e-06,0.33
v2,G1_C3.4,5,14,3.8921,6.222119331359863,3.366666666666667e-06,0.67
v2,G1_C3.4,5,15,4.0151,4.906477451324463,3.333333333333334e-08,1.0
v2,G1_C3.4,6,16,3.7659,4.482842445373535,6.700000000000001e-06,0.33
v2,G1_C3.4,6,17,3.8379,7.900635242462158,3.366666666666667e-06,0.67
v2,G1_C3.4,6,18,3.8875,7.680792808532715,3.333333333333334e-08,1.0
v2,G1_C3.4,7,19,3.6835,8.130030632019043,6.700000000000001e-06,0.33
v2,G1_C3.4,7,20,3.7382,4.244195938110352,3.366666666666667e-06,0.67
v2,G1_C3.4,7,21,3.7081,11.827506065368652,3.333333333333334e-08,1.0
v2,G1_C3.4,8,22,3.8957,4.308308124542236,6.700000000000001e-06,0.33
v2,G1_C3.4,8,23,3.7785,5.415225505828857,3.366666666666667e-06,0.67
v2,G1_C3.4,8,24,4.1042,4.866279125213623,3.333333333333334e-08,1.0
v2,G1_C3.4,9,25,3.6859,3.6900947093963623,6.700000000000001e-06,0.33
v2,G1_C3.4,9,26,3.8342,8.394596099853516,3.366666666666667e-06,0.67
v2,G1_C3.4,9,27,3.8827,8.443666458129883,3.333333333333334e-08,1.0
v2,G1_C3.4,10,28,3.893,6.756397724151611,6.700000000000001e-06,0.33
v2,G1_C3.4,10,29,3.8246,5.2931742668151855,3.366666666666667e-06,0.67
v2,G1_C3.4,10,30,3.8161,8.708395957946777,3.333333333333334e-08,1.0
v2,G1_C4,1,1,0.1691,0.7624013423919678,6.700000000000001e-06,0.33
v2,G1_C4,1,2,0.1404,0.8499873876571655,3.366666666666667e-06,0.67
v2,G1_C4,1,3,0.1598,0.5944421291351318,3.333333333333334e-08,1.0
v2,G1_C4,2,4,0.1736,1.0645109415054321,6.700000000000001e-06,0.33
v2,G1_C4,2,5,0.2021,0.9377908706665039,3.366666666666667e-06,0.67
v2,G1_C4,2,6,0.1953,0.4979044198989868,3.333333333333334e-08,1.0
v2,G1_C4,3,7,0.1782,0.76569664478302,6.700000000000001e-06,0.33
v2,G1_C4,3,8,0.1638,0.9420862793922424,3.366666666666667e-06,0.67
v2,G1_C4,3,9,0.1802,0.6808189749717712,3.333333333333334e-08,1.0
v2,G1_C4,4,10,0.1806,0.939062237739563,6.700000000000001e-06,0.33
v2,G1_C4,4,11,0.1862,0.34105828404426575,3.366666666666667e-06,0.67
v2,G1_C4,4,12,0.1842,1.0332362651824951,3.333333333333334e-08,1.0
v2,G1_C4,5,13,0.1901,0.8907383680343628,6.700000000000001e-06,0.33
v2,G1_C4,5,14,0.1806,0.3126397728919983,3.366666666666667e-06,0.67
v2,G1_C4,5,15,0.1817,0.947799026966095,3.333333333333334e-08,1.0
v2,G1_C4,6,16,0.1891,2.8155107498168945,6.700000000000001e-06,0.33
v2,G1_C4,6,17,0.1832,0.27423325181007385,3.366666666666667e-06,0.67
v2,G1_C4,6,18,0.1935,2.878814220428467,3.333333333333334e-08,1.0
v2,G1_C4,7,19,0.1881,0.8857359290122986,6.700000000000001e-06,0.33
v2,G1_C4,7,20,0.2066,3.9617321491241455,3.366666666666667e-06,0.67
v2,G1_C4,7,21,0.2182,0.2504546344280243,3.333333333333334e-08,1.0
v2,G1_C4,8,22,0.2357,0.685624897480011,6.700000000000001e-06,0.33
v2,G1_C4,8,23,0.1867,0.5758756995201111,3.366666666666667e-06,0.67
v2,G1_C4,8,24,0.1755,0.6136888265609741,3.333333333333334e-08,1.0
v2,G1_C4,9,25,0.2104,0.7306910753250122,6.700000000000001e-06,0.33
v2,G1_C4,9,26,0.1636,0.42014145851135254,3.366666666666667e-06,0.67
v2,G1_C4,9,27,0.1793,0.5377083420753479,3.333333333333334e-08,1.0
v2,G1_C4,10,28,0.2652,2.396404266357422,6.700000000000001e-06,0.33
v2,G1_C4,10,29,0.2554,1.0161800384521484,3.366666666666667e-06,0.67
v2,G1_C4,10,30,0.1821,0.4097868800163269,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,1,1,3.4139,6.296722888946533,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,1,2,3.2992,4.641915798187256,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,1,3,3.2527,4.744955062866211,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,2,4,3.5421,4.784095764160156,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,2,5,3.3652,5.849541664123535,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,2,6,3.2454,4.342584609985352,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,3,7,3.4688,5.859062671661377,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,3,8,3.4008,3.8961775302886963,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,3,9,3.2895,3.965327262878418,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,4,10,3.5775,5.314437389373779,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,4,11,3.3927,3.816884994506836,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,4,12,3.3872,3.425609588623047,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,5,13,3.6131,3.316182851791382,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,5,14,3.5506,6.071878433227539,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,5,15,3.5145,4.2780680656433105,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,6,16,3.8486,4.51015567779541,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,6,17,3.7318,5.947097301483154,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,6,18,3.6043,5.510242938995361,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,7,19,3.9917,7.931035041809082,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,7,20,3.8572,3.997621774673462,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,7,21,3.916,4.365852355957031,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,8,22,4.2476,4.230274677276611,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,8,23,3.9729,6.29865837097168,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,8,24,3.9317,3.0370917320251465,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,9,25,4.3096,5.036776542663574,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,9,26,4.1465,4.2404303550720215,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,9,27,4.0159,5.4724907875061035,3.333333333333334e-08,1.0
v2,G2_C1__50hertz,10,28,4.2014,6.151710510253906,6.700000000000001e-06,0.33
v2,G2_C1__50hertz,10,29,4.0819,6.474127769470215,3.366666666666667e-06,0.67
v2,G2_C1__50hertz,10,30,4.0283,7.478151321411133,3.333333333333334e-08,1.0
v2,G2_C1__amprion,1,1,2.0766,4.14158821105957,6.700000000000001e-06,0.33
v2,G2_C1__amprion,1,2,2.053,1.8105705976486206,3.366666666666667e-06,0.67
v2,G2_C1__amprion,1,3,2.1055,2.8683767318725586,3.333333333333334e-08,1.0
v2,G2_C1__amprion,2,4,2.264,2.2543649673461914,6.700000000000001e-06,0.33
v2,G2_C1__amprion,2,5,2.1669,3.79927396774292,3.366666666666667e-06,0.67
v2,G2_C1__amprion,2,6,2.0383,2.7080070972442627,3.333333333333334e-08,1.0
v2,G2_C1__amprion,3,7,2.1788,2.3923349380493164,6.700000000000001e-06,0.33
v2,G2_C1__amprion,3,8,2.3461,2.679905414581299,3.366666666666667e-06,0.67
v2,G2_C1__amprion,3,9,2.1699,6.779868125915527,3.333333333333334e-08,1.0
v2,G2_C1__amprion,4,10,2.4805,4.224802017211914,6.700000000000001e-06,0.33
v2,G2_C1__amprion,4,11,2.3299,3.394899845123291,3.366666666666667e-06,0.67
v2,G2_C1__amprion,4,12,2.3413,2.1534876823425293,3.333333333333334e-08,1.0
v2,G2_C1__amprion,5,13,2.476,2.336760997772217,6.700000000000001e-06,0.33
v2,G2_C1__amprion,5,14,2.5382,7.79831600189209,3.366666666666667e-06,0.67
v2,G2_C1__amprion,5,15,2.3413,3.5828158855438232,3.333333333333334e-08,1.0
v2,G2_C1__amprion,6,16,2.5679,6.739747524261475,6.700000000000001e-06,0.33
v2,G2_C1__amprion,6,17,2.4503,2.522625207901001,3.366666666666667e-06,0.67
v2,G2_C1__amprion,6,18,2.4034,3.0442354679107666,3.333333333333334e-08,1.0
v2,G2_C1__amprion,7,19,2.4373,5.006892681121826,6.700000000000001e-06,0.33
