config,area,period,output,metric,value
G1_C2.1,de_lu,2025,ensemble,lqs,571.373540518322
G1_C2.1,de_lu,2025,ensemble,mae_median,1903.256114469178
G1_C2.1,de_lu,2025,ensemble,cov50,49.00684931506849
G1_C2.1,de_lu,2025,ensemble,cov95,95.80194063926942
G1_C2.1,de_lu,2025,ensemble,crps,1385.6494171667987
G1_C2.1,de_lu,2025,ensemble,energy_score,15810.598688303551
G1_C2.1,de_lu,2026H1,point,rmse,3605.863251958259
G1_C2.1,de_lu,2026H1,point,r2,0.8639547439657093
G1_C2.1,de_lu,2026H1,point,mae,2350.2482275492475
G1_C2.1,de_lu,2026H1,point,smape,4.356975389623212
G1_C2.1,de_lu,2026H1,quantile,wis,1429.7262956655018
G1_C2.1,de_lu,2026H1,quantile,lqs,714.8631478327509
G1_C2.1,de_lu,2026H1,quantile,mae_median,2314.121134538857
G1_C2.1,de_lu,2026H1,quantile,cov50,50.46600877192983
G1_C2.1,de_lu,2026H1,quantile,cov95,94.02412280701753
G1_C2.1,de_lu,2026H1,ensemble,wis,1429.7262956655018
G1_C2.1,de_lu,2026H1,ensemble,lqs,714.8631478327509
G1_C2.1,de_lu,2026H1,ensemble,mae_median,2314.121134538857
G1_C2.1,de_lu,2026H1,ensemble,cov50,50.46600877192983
G1_C2.1,de_lu,2026H1,ensemble,cov95,94.02412280701753
G1_C2.1,de_lu,2026H1,ensemble,crps,1723.5334759209225
G1_C2.1,de_lu,2026H1,ensemble,energy_score,19502.65961842152
G1_C2.1,de_lu,overall,point,rmse,3014.8492962706487
G1_C2.1,de_lu,overall,point,r2,0.8966521459667365
G1_C2.1,de_lu,overall,point,mae,1973.7053856329
G1_C2.1,de_lu,overall,point,smape,3.7170631140029053
G1_C2.1,de_lu,overall,quantile,wis,1190.3000559472514
G1_C2.1,de_lu,overall,quantile,lqs,595.1500279736256
G1_C2.1,de_lu,overall,quantile,mae_median,1947.490824954735
G1_C2.1,de_lu,overall,quantile,cov50,50.04364854662137
G1_C2.1,de_lu,overall,quantile,cov95,95.28831634579088
G1_C2.1,de_lu,overall,ensemble,wis,1190.3000559472514
G1_C2.1,de_lu,overall,ensemble,lqs,595.1500279736256
G1_C2.1,de_lu,overall,ensemble,mae_median,1947.490824954735
G1_C2.1,de_lu,overall,ensemble,cov50,50.04364854662137
G1_C2.1,de_lu,overall,ensemble,cov95,95.28831634579088
G1_C2.1,de_lu,overall,ensemble,crps,1437.493083048268
G1_C2.1,de_lu,overall,ensemble,energy_score,16350.19662813899
G1_C2.2,de_lu,2024,point,rmse,2792.5343263089667
G1_C2.2,de_lu,2024,point,r2,0.9084856515702608
G1_C2.2,de_lu,2024,point,mae,1799.3869593614638
G1_C2.2,de_lu,2024,point,smape,3.4180318839573234
G1_C2.2,de_lu,2024,quantile,wis,1092.6845181722906
G1_C2.2,de_lu,2024,quantile,lqs,546.3422590861453
G1_C2.2,de_lu,2024,quantile,mae_median,1777.8584899272541
G1_C2.2,de_lu,2024,quantile,cov50,49.126252276867035
G1_C2.2,de_lu,2024,quantile,cov95,95.26411657559198
G1_C2.2,de_lu,2024,ensemble,wis,1092.6845181722906
G1_C2.2,de_lu,2024,ensemble,lqs,546.3422590861453
G1_C2.2,de_lu,2024,ensemble,mae_median,1777.8584899272541
G1_C2.2,de_lu,2024,ensemble,cov50,49.126252276867035
G1_C2.2,de_lu,2024,ensemble,cov95,95.26411657559198
G1_C2.2,de_lu,2024,ensemble,crps,1315.1243803514453
G1_C2.2,de_lu,2024,ensemble,energy_score,14960.758652152372
G1_C2.2,de_lu,2025,point,rmse,2811.40517075792
G1_C2.2,de_lu,2025,point,r2,0.9077122009605157
G1_C2.2,de_lu,2025,point,mae,1853.8435939240053
G1_C2.2,de_lu,2025,point,smape,3.49422470481219
G1_C2.2,de_lu,2025,quantile,wis,1117.9432618181506
G1_C2.2,de_lu,2025,quantile,lqs,558.9716309090753
G1_C2.2,de_lu,2025,quantile,mae_median,1846.522276624429
G1_C2.2,de_lu,2025,quantile,cov50,48.49600456621005
G1_C2.2,de_lu,2025,quantile,cov95,95.07705479452055
G1_C2.2,de_lu,2025,ensemble,wis,1117.9432618181506
G1_C2.2,de_lu,2025,ensemble,lqs,558.9716309090753
G1_C2.2,de_lu,2025,ensemble,mae_median,1846.522276624429
G1_C2.2,de_lu,2025,ensemble,cov50,48.49600456621005
G1_C2.2,de_lu,2025,ensemble,cov95,95.07705479452055
G1_C2.2,de_lu,2025,ensemble,crps,1350.6359043142193
G1_C2.2,de_lu,2025,ensemble,energy_score,15371.74904003934
G1_C2.2,de_lu,2026H1,point,rmse,3427.367055546208
G1_C2.2,de_lu,2026H1,point,r2,0.8770903072812473
G1_C2.2,de_lu,2026H1,point,mae,2212.843011496616
G1_C2.2,de_lu,2026H1,point,smape,4.09757210415917
G1_C2.2,de_lu,2026H1,quantile,wis,1346.3006769070314
G1_C2.2,de_lu,2026H1,quantile,lqs,673.1503384535157
G1_C2.2,de_lu,2026H1,quantile,mae_median,2159.2667321526183
G1_C2.2,de_lu,2026H1,quantile,cov50,49.040570175438596
G1_C2.2,de_lu,2026H1,quantile,cov95,93.29084429824562
G1_C2.2,de_lu,2026H1,ensemble,wis,1346.3006769070314
G1_C2.2,de_lu,2026H1,ensemble,lqs,673.1503384535157
G1_C2.2,de_lu,2026H1,ensemble,mae_median,2159.2667321526183
G1_C2.2,de_lu,2026H1,ensemble,cov50,49.040570175438596
G1_C2.2,de_lu,2026H1,ensemble,cov95,93.29084429824562
G1_C2.2,de_lu,2026H1,ensemble,crps,1615.7214330201373
G1_C2.2,de_lu,2026H1,ensemble,energy_score,18183.283113952017
G1_C2.2,de_lu,overall,point,rmse,2919.1907751066587
G1_C2.2,de_lu,overall,point,r2,0.9031063751794867
G1_C2.2,de_lu,overall,point,mae,1893.0698489875913
G1_C2.2,de_lu,overall,point,smape,3.566503563552688
G1_C2.2,de_lu,overall,quantile,wis,1146.7831564037963
G1_C2.2,de_lu,overall,quantile,lqs,573.3915782018983
G1_C2.2,de_lu,overall,quantile,mae_median,1871.8973743697504
G1_C2.2,de_lu,overall,quantile,cov50,48.850981502453756
G1_C2.2,de_lu,overall,quantile,cov95,94.8471121177803
G1_C2.2,de_lu,overall,ensemble,wis,1146.7831564037963
G1_C2.2,de_lu,overall,ensemble,lqs,573.3915782018983
G1_C2.2,de_lu,overall,ensemble,mae_median,1871.8973743697504
G1_C2.2,de_lu,overall,ensemble,cov50,48.850981502453756
G1_C2.2,de_lu,overall,ensemble,cov95,94.8471121177803
G1_C2.2,de_lu,overall,ensemble,crps,1381.5484553820838
G1_C2.2,de_lu,overall,ensemble,energy_score,15685.373838757454
G1_C2.3,de_lu,2024,point,rmse,2856.2669684640996
G1_C2.3,de_lu,2024,point,r2,0.9042608105341753
G1_C2.3,de_lu,2024,point,mae,1853.9543248582215
G1_C2.3,de_lu,2024,point,smape,3.5195239890530132
G1_C2.3,de_lu,2024,quantile,wis,1124.1225273128186
G1_C2.3,de_lu,2024,quantile,lqs,562.0612636564094
G1_C2.3,de_lu,2024,quantile,mae_median,1829.2039134297588
G1_C2.3,de_lu,2024,quantile,cov50,52.330942622950815
G1_C2.3,de_lu,2024,quantile,cov95,96.31432149362477
G1_C2.3,de_lu,2024,ensemble,wis,1124.1225273128186
G1_C2.3,de_lu,2024,ensemble,lqs,562.0612636564094
G1_C2.3,de_lu,2024,ensemble,mae_median,1829.2039134297588
G1_C2.3,de_lu,2024,ensemble,cov50,52.330942622950815
G1_C2.3,de_lu,2024,ensemble,cov95,96.31432149362477
G1_C2.3,de_lu,2024,ensemble,crps,1357.2447731457974
G1_C2.3,de_lu,2024,ensemble,energy_score,15473.48166479983
G1_C2.3,de_lu,2025,point,rmse,2801.3712218921114
G1_C2.3,de_lu,2025,point,r2,0.90836977859619
G1_C2.3,de_lu,2025,point,mae,1850.6463237154
G1_C2.3,de_lu,2025,point,smape,3.4981644057387453
G1_C2.3,de_lu,2025,quantile,wis,1120.7325898783106
G1_C2.3,de_lu,2025,quantile,lqs,560.3662949391553
G1_C2.3,de_lu,2025,quantile,mae_median,1831.104375833904
G1_C2.3,de_lu,2025,quantile,cov50,53.96689497716894
G1_C2.3,de_lu,2025,quantile,cov95,96.37271689497717
G1_C2.3,de_lu,2025,ensemble,wis,1120.7325898783106
G1_C2.3,de_lu,2025,ensemble,lqs,560.3662949391553
G1_C2.3,de_lu,2025,ensemble,mae_median,1831.104375833904
G1_C2.3,de_lu,2025,ensemble,cov50,53.96689497716894
G1_C2.3,de_lu,2025,ensemble,cov95,96.37271689497717
G1_C2.3,de_lu,2025,ensemble,crps,1359.0284686956807
G1_C2.3,de_lu,2025,ensemble,energy_score,15514.10657657185
G1_C2.3,de_lu,2026H1,point,rmse,3573.0592686211908
G1_C2.3,de_lu,2026H1,point,r2,0.8664188009427609
G1_C2.3,de_lu,2026H1,point,mae,2355.528331052994
G1_C2.3,de_lu,2026H1,point,smape,4.352094019843874
G1_C2.3,de_lu,2026H1,quantile,wis,1437.089131176302
G1_C2.3,de_lu,2026H1,quantile,lqs,718.544565588151
G1_C2.3,de_lu,2026H1,quantile,mae_median,2310.1219509534676
G1_C2.3,de_lu,2026H1,quantile,cov50,50.74013157894737
G1_C2.3,de_lu,2026H1,quantile,cov95,94.07209429824562
G1_C2.3,de_lu,2026H1,ensemble,wis,1437.089131176302
G1_C2.3,de_lu,2026H1,ensemble,lqs,718.544565588151
G1_C2.3,de_lu,2026H1,ensemble,mae_median,2310.1219509534676
G1_C2.3,de_lu,2026H1,ensemble,cov50,50.74013157894737
G1_C2.3,de_lu,2026H1,ensemble,cov95,94.07209429824562
G1_C2.3,de_lu,2026H1,ensemble,crps,1731.9172931184441
G1_C2.3,de_lu,2026H1,ensemble,energy_score,19496.225337466414
G1_C2.3,de_lu,overall,point,rmse,2970.384849421977
G1_C2.3,de_lu,overall,point,r2,0.8996781136549616
G1_C2.3,de_lu,overall,point,mae,1938.9280830965856
G1_C2.3,de_lu,overall,point,smape,3.6540136796198346
G1_C2.3,de_lu,overall,quantile,wis,1176.5954566714304
G1_C2.3,de_lu,overall,quantile,lqs,588.2977283357152
G1_C2.3,de_lu,overall,quantile,mae_median,1912.774933227173
G1_C2.3,de_lu,overall,quantile,cov50,52.73334277085693
G1_C2.3,de_lu,overall,quantile,cov95,95.95248206870517
G1_C2.3,de_lu,overall,ensemble,wis,1176.5954566714304
G1_C2.3,de_lu,overall,ensemble,lqs,588.2977283357152
G1_C2.3,de_lu,overall,ensemble,mae_median,1912.774933227173
G1_C2.3,de_lu,overall,ensemble,cov50,52.73334277085693
G1_C2.3,de_lu,overall,ensemble,cov95,95.95248206870517
G1_C2.3,de_lu,overall,ensemble,crps,1422.478376669636
G1_C2.3,de_lu,overall,ensemble,energy_score,16182.75134887923
G1_C3.1,de_lu,2024,point,rmse,2854.0920482048414
G1_C3.1,de_lu,2024,point,r2,0.9044065572924406
G1_C3.1,de_lu,2024,point,mae,1865.9674562177825
G1_C3.1,de_lu,2024,point,smape,3.555276424310961
G1_C3.1,de_lu,2024,quantile,wis,1133.5234448288022
G1_C3.1,de_lu,2024,quantile,lqs,566.7617224144012
G1_C3.1,de_lu,2024,quantile,mae_median,1841.015806971653
G1_C3.1,de_lu,2024,quantile,cov50,52.64970400728597
G1_C3.1,de_lu,2024,quantile,cov95,96.68146630236795
G1_C3.1,de_lu,2024,ensemble,wis,1133.5234448288022
G1_C3.1,de_lu,2024,ensemble,lqs,566.7617224144012
G1_C3.1,de_lu,2024,ensemble,mae_median,1841.015806971653
G1_C3.1,de_lu,2024,ensemble,cov50,52.64970400728597
G1_C3.1,de_lu,2024,ensemble,cov95,96.68146630236795
G1_C3.1,de_lu,2024,ensemble,crps,1369.682205746875
G1_C3.1,de_lu,2024,ensemble,energy_score,15561.759220227288
G1_C3.1,de_lu,2025,point,rmse,2746.0544383363354
G1_C3.1,de_lu,2025,point,r2,0.911952770451537
G1_C3.1,de_lu,2025,point,mae,1888.343277024815
G1_C3.1,de_lu,2025,point,smape,3.5499282302158437
G1_C3.1,de_lu,2025,quantile,wis,1125.4320340002282
G1_C3.1,de_lu,2025,quantile,lqs,562.7160170001142
G1_C3.1,de_lu,2025,quantile,mae_median,1850.7281345468036
G1_C3.1,de_lu,2025,quantile,cov50,52.12328767123287
G1_C3.1,de_lu,2025,quantile,cov95,96.86643835616438
G1_C3.1,de_lu,2025,ensemble,wis,1125.4320340002282
G1_C3.1,de_lu,2025,ensemble,lqs,562.7160170001142
G1_C3.1,de_lu,2025,ensemble,mae_median,1850.7281345468036
G1_C3.1,de_lu,2025,ensemble,cov50,52.12328767123287
G1_C3.1,de_lu,2025,ensemble,cov95,96.86643835616438
G1_C3.1,de_lu,2025,ensemble,crps,1366.762231491402
G1_C3.1,de_lu,2025,ensemble,energy_score,15711.316918552759
G1_C3.1,de_lu,2026H1,point,rmse,3403.353702181277
G1_C3.1,de_lu,2026H1,point,r2,0.878806571864146
G1_C3.1,de_lu,2026H1,point,mae,2269.874711487361
G1_C3.1,de_lu,2026H1,point,smape,4.175924998093372
G1_C3.1,de_lu,2026H1,quantile,wis,1383.350207046313
G1_C3.1,de_lu,2026H1,quantile,lqs,691.6751035231566
G1_C3.1,de_lu,2026H1,quantile,mae_median,2254.2375827434894
G1_C3.1,de_lu,2026H1,quantile,cov50,51.22669956140351
G1_C3.1,de_lu,2026H1,quantile,cov95,95.16858552631578
G1_C3.1,de_lu,2026H1,ensemble,wis,1383.350207046313
G1_C3.1,de_lu,2026H1,ensemble,lqs,691.6751035231566
G1_C3.1,de_lu,2026H1,ensemble,mae_median,2254.2375827434894
G1_C3.1,de_lu,2026H1,ensemble,cov50,51.22669956140351
G1_C3.1,de_lu,2026H1,ensemble,cov95,95.16858552631578
G1_C3.1,de_lu,2026H1,ensemble,crps,1672.7741661888472
G1_C3.1,de_lu,2026H1,ensemble,energy_score,19027.997668355893
G1_C3.1,de_lu,overall,point,rmse,2913.3121885711225
G1_C3.1,de_lu,overall,point,r2,0.9034962257114286
G1_C3.1,de_lu,overall,point,mae,1944.7455733135275
G1_C3.1,de_lu,overall,point,smape,3.6599043884901326
G1_C3.1,de_lu,overall,quantile,wis,1173.1840370197788
G1_C3.1,de_lu,overall,quantile,lqs,586.5920185098893
G1_C3.1,de_lu,overall,quantile,mae_median,1916.1627033275413
G1_C3.1,de_lu,overall,quantile,cov50,52.187146092865234
G1_C3.1,de_lu,overall,quantile,cov95,96.49749905624763
G1_C3.1,de_lu,overall,ensemble,wis,1173.1840370197788
G1_C3.1,de_lu,overall,ensemble,lqs,586.5920185098893
G1_C3.1,de_lu,overall,ensemble,mae_median,1916.1627033275413
G1_C3.1,de_lu,overall,ensemble,cov50,52.187146092865234
G1_C3.1,de_lu,overall,ensemble,cov95,96.49749905624763
G1_C3.1,de_lu,overall,ensemble,crps,1420.6495753776026
G1_C3.1,de_lu,overall,ensemble,energy_score,16220.2606970159
G1_C3.2,de_lu,2024,point,rmse,2913.5401690190356
G1_C3.2,de_lu,2024,point,r2,0.9003828364610962
G1_C3.2,de_lu,2024,point,mae,1905.417873930702
G1_C3.2,de_lu,2024,point,smape,3.6227953301630906
G1_C3.2,de_lu,2024,quantile,wis,1141.711248020469
G1_C3.2,de_lu,2024,quantile,lqs,570.8556240102346
G1_C3.2,de_lu,2024,quantile,mae_median,1858.6248538635018
G1_C3.2,de_lu,2024,quantile,cov50,50.865209471766846
G1_C3.2,de_lu,2024,quantile,cov95,96.56193078324226
G1_C3.2,de_lu,2024,ensemble,wis,1141.711248020469
G1_C3.2,de_lu,2024,ensemble,lqs,570.8556240102346
G1_C3.2,de_lu,2024,ensemble,mae_median,1858.6248538635018
G1_C3.2,de_lu,2024,ensemble,cov50,50.865209471766846
G1_C3.2,de_lu,2024,ensemble,cov95,96.56193078324226
G1_C3.2,de_lu,2024,ensemble,crps,1379.6583963685373
G1_C3.2,de_lu,2024,ensemble,energy_score,15648.04103199522
G1_C3.2,de_lu,2025,point,rmse,2735.6337599279836
G1_C3.2,de_lu,2025,point,r2,0.9126197426515468
G1_C3.2,de_lu,2025,point,mae,1878.7971283458633
G1_C3.2,de_lu,2025,point,smape,3.523030418902319
G1_C3.2,de_lu,2025,quantile,wis,1120.9381062350456
G1_C3.2,de_lu,2025,quantile,lqs,560.4690531175229
G1_C3.2,de_lu,2025,quantile,mae_median,1840.3165948898402
G1_C3.2,de_lu,2025,quantile,cov50,51.68093607305936
G1_C3.2,de_lu,2025,quantile,cov95,96.63527397260275
G1_C3.2,de_lu,2025,ensemble,wis,1120.9381062350456
G1_C3.2,de_lu,2025,ensemble,lqs,560.4690531175229
G1_C3.2,de_lu,2025,ensemble,mae_median,1840.3165948898402
G1_C3.2,de_lu,2025,ensemble,cov50,51.68093607305936
G1_C3.2,de_lu,2025,ensemble,cov95,96.63527397260275
G1_C3.2,de_lu,2025,ensemble,crps,1363.0609290636578
G1_C3.2,de_lu,2025,ensemble,energy_score,15616.952187673132
G1_C3.2,de_lu,2026H1,point,rmse,3429.858698433397
G1_C3.2,de_lu,2026H1,point,r2,0.8769115354280405
G1_C3.2,de_lu,2026H1,point,mae,2289.4991783652717
G1_C3.2,de_lu,2026H1,point,smape,4.215539937368471
G1_C3.2,de_lu,2026H1,quantile,wis,1394.8061029216692
G1_C3.2,de_lu,2026H1,quantile,lqs,697.4030514608347
G1_C3.2,de_lu,2026H1,quantile,mae_median,2279.3297924621024
G1_C3.2,de_lu,2026H1,quantile,cov50,49.75328947368421
G1_C3.2,de_lu,2026H1,quantile,cov95,95.23026315789474
G1_C3.2,de_lu,2026H1,ensemble,wis,1394.8061029216692
G1_C3.2,de_lu,2026H1,ensemble,lqs,697.4030514608347
G1_C3.2,de_lu,2026H1,ensemble,mae_median,2279.3297924621024
G1_C3.2,de_lu,2026H1,ensemble,cov50,49.75328947368421
G1_C3.2,de_lu,2026H1,ensemble,cov95,95.23026315789474
G1_C3.2,de_lu,2026H1,ensemble,crps,1686.5965814974381
G1_C3.2,de_lu,2026H1,ensemble,energy_score,19113.25236603704
G1_C3.2,de_lu,overall,point,rmse,2938.8897145212327
G1_C3.2,de_lu,overall,point,r2,0.9017942706749358
G1_C3.2,de_lu,overall,point,mae,1960.529749508945
G1_C3.2,de_lu,overall,point,smape,3.683591465706733
G1_C3.2,de_lu,overall,quantile,wis,1176.6922459743794
G1_C3.2,de_lu,overall,quantile,lqs,588.3461229871898
G1_C3.2,de_lu,overall,quantile,mae_median,1923.477216424771
G1_C3.2,de_lu,overall,quantile,cov50,51.01099471498679
G1_C3.2,de_lu,overall,quantile,cov95,96.36301434503586
G1_C3.2,de_lu,overall,ensemble,wis,1176.6922459743794
G1_C3.2,de_lu,overall,ensemble,lqs,588.3461229871898
G1_C3.2,de_lu,overall,ensemble,mae_median,1923.477216424771
G1_C3.2,de_lu,overall,ensemble,cov50,51.01099471498679
G1_C3.2,de_lu,overall,ensemble,cov95,96.36301434503586
G1_C3.2,de_lu,overall,ensemble,crps,1425.634079917022
G1_C3.2,de_lu,overall,ensemble,energy_score,16231.69300775603
G1_C3.3,de_lu,2024,point,rmse,2951.29477455069
G1_C3.3,de_lu,2024,point,r2,0.8977843654114698
G1_C3.3,de_lu,2024,point,mae,1947.6546804005604
G1_C3.3,de_lu,2024,point,smape,3.702810349374651
G1_C3.3,de_lu,2024,quantile,wis,1176.8565850062614
G1_C3.3,de_lu,2024,quantile,lqs,588.4282925031307
G1_C3.3,de_lu,2024,quantile,mae_median,1905.6108055784382
G1_C3.3,de_lu,2024,quantile,cov50,57.31158925318761
G1_C3.3,de_lu,2024,quantile,cov95,97.51821493624773
G1_C3.3,de_lu,2024,ensemble,wis,1176.8565850062614
G1_C3.3,de_lu,2024,ensemble,lqs,588.4282925031307
G1_C3.3,de_lu,2024,ensemble,mae_median,1905.6108055784382
G1_C3.3,de_lu,2024,ensemble,cov50,57.31158925318761
G1_C3.3,de_lu,2024,ensemble,cov95,97.51821493624773
G1_C3.3,de_lu,2024,ensemble,crps,1431.9041659209058
G1_C3.3,de_lu,2024,ensemble,energy_score,16147.232130746881
G1_C3.3,de_lu,2025,point,rmse,2770.8823512559184
G1_C3.3,de_lu,2025,point,r2,0.9103534494814232
G1_C3.3,de_lu,2025,point,mae,1917.5368083658134
G1_C3.3,de_lu,2025,point,smape,3.5984422922719697
G1_C3.3,de_lu,2025,quantile,wis,1149.8237908439498
G1_C3.3,de_lu,2025,quantile,lqs,574.911895421975
G1_C3.3,de_lu,2025,quantile,mae_median,1871.6085603687216
G1_C3.3,de_lu,2025,quantile,cov50,59.198059360730596
G1_C3.3,de_lu,2025,quantile,cov95,97.94805936073058
G1_C3.3,de_lu,2025,ensemble,wis,1149.8237908439498
G1_C3.3,de_lu,2025,ensemble,lqs,574.911895421975
G1_C3.3,de_lu,2025,ensemble,mae_median,1871.6085603687216
G1_C3.3,de_lu,2025,ensemble,cov50,59.198059360730596
G1_C3.3,de_lu,2025,ensemble,cov95,97.94805936073058
G1_C3.3,de_lu,2025,ensemble,crps,1405.1781119112347
G1_C3.3,de_lu,2025,ensemble,energy_score,16058.458751062299
G1_C3.3,de_lu,2026H1,point,rmse,3439.3538374859695
G1_C3.3,de_lu,2026H1,point,r2,0.8762290817477894
G1_C3.3,de_lu,2026H1,point,mae,2324.6524119120686
G1_C3.3,de_lu,2026H1,point,smape,4.283413866183925
G1_C3.3,de_lu,2026H1,quantile,wis,1407.1890210178865
G1_C3.3,de_lu,2026H1,quantile,lqs,703.5945105089434
G1_C3.3,de_lu,2026H1,quantile,mae_median,2293.0060832153918
G1_C3.3,de_lu,2026H1,quantile,cov50,56.414473684210535
G1_C3.3,de_lu,2026H1,quantile,cov95,95.66885964912281
G1_C3.3,de_lu,2026H1,ensemble,wis,1407.1890210178865
G1_C3.3,de_lu,2026H1,ensemble,lqs,703.5945105089434
G1_C3.3,de_lu,2026H1,ensemble,mae_median,2293.0060832153918
G1_C3.3,de_lu,2026H1,ensemble,cov50,56.414473684210535
G1_C3.3,de_lu,2026H1,ensemble,cov95,95.66885964912281
G1_C3.3,de_lu,2026H1,ensemble,crps,1714.9337354900954
G1_C3.3,de_lu,2026H1,ensemble,energy_score,19419.068947282667
