config,area,period,output,metric,value
G1_C1,de_lu,overall,quantile,wis,1128.865896668009
G1_C1,de_lu,overall,quantile,lqs,564.4329483340045
G1_C1,de_lu,overall,quantile,mae_median,1842.871003643179
G1_C1,de_lu,overall,quantile,cov50,48.40859758399396
G1_C1,de_lu,overall,quantile,cov95,94.62061155152888
G1_C1,de_lu,overall,ensemble,wis,1128.865896668009
G1_C1,de_lu,overall,ensemble,lqs,564.4329483340045
G1_C1,de_lu,overall,ensemble,mae_median,1842.871003643179
G1_C1,de_lu,overall,ensemble,cov50,48.40859758399396
G1_C1,de_lu,overall,ensemble,cov95,94.62061155152888
G1_C1,de_lu,overall,ensemble,crps,1362.8655585126396
G1_C1,de_lu,overall,ensemble,energy_score,15655.141002440907
G1_C2.3,de_lu,2024,point,rmse,2921.732086261216
G1_C2.3,de_lu,2024,point,r2,0.8998218675008638
G1_C2.3,de_lu,2024,point,mae,1893.2897393495152
G1_C2.3,de_lu,2024,point,smape,3.590761712793946
G1_C2.3,de_lu,2024,quantile,wis,1145.2396176334016
G1_C2.3,de_lu,2024,quantile,lqs,572.6198088167009
G1_C2.3,de_lu,2024,quantile,mae_median,1868.4466820424636
G1_C2.3,de_lu,2024,quantile,cov50,51.63365209471766
G1_C2.3,de_lu,2024,quantile,cov95,96.5334699453552
G1_C2.3,de_lu,2024,ensemble,wis,1145.2396176334016
G1_C2.3,de_lu,2024,ensemble,lqs,572.6198088167009
G1_C2.3,de_lu,2024,ensemble,mae_median,1868.4466820424636
G1_C2.3,de_lu,2024,ensemble,cov50,51.63365209471766
G1_C2.3,de_lu,2024,ensemble,cov95,96.5334699453552
G1_C2.3,de_lu,2024,ensemble,crps,1384.194152683557
G1_C2.3,de_lu,2024,ensemble,energy_score,15727.65746218992
G1_C2.3,de_lu,2025,point,rmse,2849.0835586998533
G1_C2.3,de_lu,2025,point,r2,0.9052219469193551
G1_C2.3,de_lu,2025,point,mae,1889.4325846083657
G1_C2.3,de_lu,2025,point,smape,3.5743198805664242
G1_C2.3,de_lu,2025,quantile,wis,1138.9443927121004
G1_C2.3,de_lu,2025,quantile,lqs,569.4721963560503
G1_C2.3,de_lu,2025,quantile,mae_median,1864.4320554686071
G1_C2.3,de_lu,2025,quantile,cov50,53.42465753424658
G1_C2.3,de_lu,2025,quantile,cov95,96.52682648401827
G1_C2.3,de_lu,2025,ensemble,wis,1138.9443927121004
G1_C2.3,de_lu,2025,ensemble,lqs,569.4721963560503
G1_C2.3,de_lu,2025,ensemble,mae_median,1864.4320554686071
G1_C2.3,de_lu,2025,ensemble,cov50,53.42465753424658
G1_C2.3,de_lu,2025,ensemble,cov95,96.52682648401827
G1_C2.3,de_lu,2025,ensemble,crps,1381.4178128442506
G1_C2.3,de_lu,2025,ensemble,energy_score,15768.643083714323
G1_C2.3,de_lu,2026H1,point,rmse,3430.0936358296844
G1_C2.3,de_lu,2026H1,point,r2,0.8768946722996535
G1_C2.3,de_lu,2026H1,point,mae,2281.652400727114
G1_C2.3,de_lu,2026H1,point,smape,4.1949857597891755
G1_C2.3,de_lu,2026H1,quantile,wis,1385.4446736523712
G1_C2.3,de_lu,2026H1,quantile,lqs,692.7223368261856
G1_C2.3,de_lu,2026H1,quantile,mae_median,2239.8513016264387
G1_C2.3,de_lu,2026H1,quantile,cov50,49.80811403508772
G1_C2.3,de_lu,2026H1,quantile,cov95,94.16118421052632
G1_C2.3,de_lu,2026H1,ensemble,wis,1385.4446736523712
G1_C2.3,de_lu,2026H1,ensemble,lqs,692.7223368261856
G1_C2.3,de_lu,2026H1,ensemble,mae_median,2239.8513016264387
G1_C2.3,de_lu,2026H1,ensemble,cov50,49.80811403508772
G1_C2.3,de_lu,2026H1,ensemble,cov95,94.16118421052632
G1_C2.3,de_lu,2026H1,ensemble,crps,1670.043908983806
G1_C2.3,de_lu,2026H1,ensemble,energy_score,18823.3745964917
G1_C2.3,de_lu,overall,point,rmse,2986.4803549955564
G1_C2.3,de_lu,overall,point,r2,0.8985879476304628
G1_C2.3,de_lu,overall,point,mae,1958.548247898638
G1_C2.3,de_lu,overall,point,smape,3.6879766464068897
G1_C2.3,de_lu,overall,quantile,wis,1183.986402931939
G1_C2.3,de_lu,overall,quantile,lqs,591.9932014659695
G1_C2.3,de_lu,overall,quantile,mae_median,1930.7209328661404
G1_C2.3,de_lu,overall,quantile,cov50,52.059739524348814
G1_C2.3,de_lu,overall,quantile,cov95,96.12235749339374
G1_C2.3,de_lu,overall,ensemble,wis,1183.986402931939
G1_C2.3,de_lu,overall,ensemble,lqs,591.9932014659695
G1_C2.3,de_lu,overall,ensemble,mae_median,1930.7209328661404
G1_C2.3,de_lu,overall,ensemble,cov50,52.059739524348814
G1_C2.3,de_lu,overall,ensemble,cov95,96.12235749339374
G1_C2.3,de_lu,overall,ensemble,crps,1432.2528151029126
G1_C2.3,de_lu,overall,ensemble,energy_score,16277.497503266113
G1_C3.1,de_lu,2024,point,rmse,2820.3941861747917
G1_C3.1,de_lu,2024,point,r2,0.906650547958212
G1_C3.1,de_lu,2024,point,mae,1849.6884040138511
G1_C3.1,de_lu,2024,point,smape,3.52759049606719
G1_C3.1,de_lu,2024,quantile,wis,1121.420738751981
G1_C3.1,de_lu,2024,quantile,lqs,560.7103693759905
G1_C3.1,de_lu,2024,quantile,mae_median,1820.3044618664617
G1_C3.1,de_lu,2024,quantile,cov50,53.84505919854281
G1_C3.1,de_lu,2024,quantile,cov95,96.7953096539162
G1_C3.1,de_lu,2024,ensemble,wis,1121.420738751981
G1_C3.1,de_lu,2024,ensemble,lqs,560.7103693759905
G1_C3.1,de_lu,2024,ensemble,mae_median,1820.3044618664617
G1_C3.1,de_lu,2024,ensemble,cov50,53.84505919854281
G1_C3.1,de_lu,2024,ensemble,cov95,96.7953096539162
G1_C3.1,de_lu,2024,ensemble,crps,1359.6147902934993
G1_C3.1,de_lu,2024,ensemble,energy_score,15457.409526331077
G1_C3.1,de_lu,2025,point,rmse,2766.2232143719843
G1_C3.1,de_lu,2025,point,r2,0.9106546707850288
G1_C3.1,de_lu,2025,point,mae,1912.7194283254785
G1_C3.1,de_lu,2025,point,smape,3.595374517022097
G1_C3.1,de_lu,2025,quantile,wis,1134.0804169197488
G1_C3.1,de_lu,2025,quantile,lqs,567.0402084598744
G1_C3.1,de_lu,2025,quantile,mae_median,1867.0105562151825
G1_C3.1,de_lu,2025,quantile,cov50,51.17009132420092
G1_C3.1,de_lu,2025,quantile,cov95,96.61529680365297
G1_C3.1,de_lu,2025,ensemble,wis,1134.0804169197488
G1_C3.1,de_lu,2025,ensemble,lqs,567.0402084598744
G1_C3.1,de_lu,2025,ensemble,mae_median,1867.0105562151825
G1_C3.1,de_lu,2025,ensemble,cov50,51.17009132420092
G1_C3.1,de_lu,2025,ensemble,cov95,96.61529680365297
G1_C3.1,de_lu,2025,ensemble,crps,1377.2941147022088
G1_C3.1,de_lu,2025,ensemble,energy_score,15782.070168902996
G1_C3.1,de_lu,2026H1,point,rmse,3384.3419084322086
G1_C3.1,de_lu,2026H1,point,r2,0.8801568099371567
G1_C3.1,de_lu,2026H1,point,mae,2263.198441526965
G1_C3.1,de_lu,2026H1,point,smape,4.160578569422522
G1_C3.1,de_lu,2026H1,quantile,wis,1377.8355053274533
G1_C3.1,de_lu,2026H1,quantile,lqs,688.9177526637267
G1_C3.1,de_lu,2026H1,quantile,mae_median,2240.6267308013294
G1_C3.1,de_lu,2026H1,quantile,cov50,51.075932017543856
G1_C3.1,de_lu,2026H1,quantile,cov95,94.72998903508771
G1_C3.1,de_lu,2026H1,ensemble,wis,1377.8355053274533
G1_C3.1,de_lu,2026H1,ensemble,lqs,688.9177526637267
G1_C3.1,de_lu,2026H1,ensemble,mae_median,2240.6267308013294
G1_C3.1,de_lu,2026H1,ensemble,cov50,51.075932017543856
G1_C3.1,de_lu,2026H1,ensemble,cov95,94.72998903508771
